NU_ANO_CENSO|ID_GESTOR|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|IN_NECESSIDADE_ESPECIAL|IN_BAIXA_VISAO|IN_CEGUEIRA|IN_DEF_AUDITIVA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_SURDEZ|IN_SURDOCEGUEIRA|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SUPERDOTACAO|TP_ESCOLARIDADE|TP_ENSINO_MEDIO|CO_AREA_CURSO_1|CO_CURSO_1|IN_LICENCIATURA_1|NU_ANO_CONCLUSAO_1|TP_TIPO_IES_1|CO_IES_1|CO_AREA_CURSO_2|CO_CURSO_2|IN_LICENCIATURA_2|NU_ANO_CONCLUSAO_2|TP_TIPO_IES_2|CO_IES_2|IN_ESPECIALIZACAO|IN_MESTRADO|IN_DOUTORADO|IN_POS_NENHUM|IN_ESPECIFICO_CRECHE|IN_ESPECIFICO_PRE_ESCOLA|IN_ESPECIFICO_ANOS_INICIAIS|IN_ESPECIFICO_ANOS_FINAIS|IN_ESPECIFICO_ENS_MEDIO|IN_ESPECIFICO_EJA|IN_ESPECIFICO_ED_ESPECIAL|IN_ESPECIFICO_ED_INDIGENA|IN_ESPECIFICO_CAMPO|IN_ESPECIFICO_AMBIENTAL|IN_ESPECIFICO_DIR_HUMANOS|IN_ESPECIFICO_DIV_SEXUAL|IN_ESPECIFICO_DIR_ADOLESC|IN_ESPECIFICO_AFRO|IN_ESPECIFICO_GESTAO|IN_ESPECIFICO_OUTROS|IN_ESPECIFICO_NENHUM|TP_CARGO_GESTOR|TP_TIPO_ACESSO_CARGO|TP_TIPO_CONTRATACAO|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIV_ONG_OSCIP|IN_MANT_ESCOLA_PRIVADA_OSCIP|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2020|0806A47682ED9B2623545A093A78E251|6|1963|56|57|2|0|1|76|21.0|2110401.0|0|||||||||||4||0.0|0113P011|1|2004.0|1.0|699.0|||0||||1.0|0.0|0.0|0.0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|5.0|1.0|11000023|1|1101|11001|11|1100205|110020505|2|1|||||||||||0|0|0
2020|EAB8B462AF980DD0573716BA48E4CF65|2|1968|52|52|2|4|1|76|11.0|1100205.0|0|||||||||||4|2.0|0.0|0114B011|1|2005.0|1.0|9999999.0|||0||||1.0|0.0|0.0|0.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|2.0|1.0|11000040|1|1101|11001|11|1100205|110020505|3|1|||||||||||1|0|0
2020|524EBEBA473F580794138450E3D14280|12|1976|43|44|2|1|1|76|43.0|4301602.0|0|||||||||||4|1.0|0.0|0113P011|1|2004.0|1.0|9999999.0|||0||||1.0|0.0|0.0|0.0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|2.0||11000058|1|1101|11001|11|1100205|110020505|4|1|1.0|0.0||1.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0
2020|5CA8772535CE419ED1C8A3562D5836A4|12|1945|74|75|2|0|1|76|26.0|2606002.0|0|||||||||||4|1.0|0.0|0113P011|1|2001.0|1.0|9999999.0|||0||||1.0|0.0|0.0|0.0|0|1|1|1|1|1|1|0|0|0|0|0|1|1|1|0|0|1|1.0||11000082|1|1101|11001|11|1100205|110020505|4|1|1.0|0.0||1.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0
2020|EF19AAEE073A092AB527A0F324BDFEFD|1|1976|44|44|1|1|1|76|11.0|1100205.0|0|||||||||||4|1.0|0.0|0413A012|0|2018.0|2.0|298.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||11000104|1|1101|11001|11|1100205|110020505|4|1|1.0|0.0||1.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0
2020|D5860B54EE5480DD277609968255E840|6|1959|60|61|2|1|1|76|23.0|2309607.0|0|||||||||||4|2.0|0.0|0114G011|1|1993.0|1.0|699.0|||0||||1.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|2.0||11000104|1|1101|11001|11|1100205|110020505|4|1|1.0|0.0||1.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0
2020|69BA379F940B17FEEEBFDE89B3836BB4|11|1961|58|59|1|3|1|76|11.0|1100205.0|0|||||||||||4||0.0|0114H011|1|2000.0|1.0|699.0|||0||||1.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|2.0||11000171|1|1101|11001|11|1100205|110020505|4|1|1.0|0.0||1.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0
2020|F88F742135809D21594904D3CF882659|3|1962|58|58|2|3|1|76|31.0|3104205.0|0|||||||||||4|2.0|0.0|0114C021|1|1985.0|1.0|9999999.0|||0||||1.0|0.0|0.0|0.0|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0|1|2.0||11000198|1|1101|11001|11|1100205|110020505|4|1|1.0|0.0||1.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0
2020|F8CBD5427A40886B50D354260773E3CD|1|1976|44|44|2|0|1|76|11.0|1100205.0|0|||||||||||4||0.0|0113P011|1|2009.0|1.0|40.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2.0|1.0|11000201|1|1101|11001|11|1100205|110020505|3|1|||||||||||2|0|0
2020|A4CB9968EE0EC6DEE585A8C1D6C2C606|9|1982|37|38|1|5|1|76|13.0|1303809.0|0|||||||||||4|1.0|0.0|0114F011|1|2006.0|1.0|9999999.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2.0||11000244|1|1101|11001|11|1100205|110020505|4|1|1.0|0.0||0.0|0.0|0.0|0.0|0.0|0.0|1.0|1|0|0
